order_id,date,product_id,quantity,unit_price,revenue,category,name,revenue_per_unit,year_month
O2001,2026-06-02,P001,3,149.99,449.97,Electronics,Wireless Headphones,149.99,2026-06
O2002,2026-06-02,P002,2,45.0,90.0,Electronics,Laptop Stand,45.0,2026-06
O2003,2026-06-03,P003,1,399.0,399.0,Office,Ergonomic Chair,399.0,2026-06
O2004,2026-06-04,P004,2,599.0,1198.0,Office,Standing Desk,599.0,2026-06
O2005,2026-06-05,P005,4,39.99,159.96,Accessories,USB-C Hub,39.99,2026-06
O2006,2026-06-05,P006,3,129.0,387.0,Accessories,Mechanical Keyboard,129.0,2026-06
O2007,2026-06-06,P007,2,89.0,178.0,Electronics,Monitor Arm,89.0,2026-06
O2008,2026-06-06,P008,1,75.0,75.0,Office,Whiteboard,75.0,2026-06
O2009,2026-06-09,P009,6,19.99,119.94,Accessories,Cable Management Kit,19.99,2026-06
O2010,2026-06-09,P010,3,99.0,297.0,Electronics,Webcam,99.0,2026-06
O2011,2026-06-10,P001,2,149.99,299.98,Electronics,Wireless Headphones,149.99,2026-06
O2012,2026-06-10,P003,3,399.0,1197.0,Office,Ergonomic Chair,399.0,2026-06
O2013,2026-06-11,P005,5,39.99,199.95,Accessories,USB-C Hub,39.989999999999995,2026-06
O2014,2026-06-11,P002,4,45.0,180.0,Electronics,Laptop Stand,45.0,2026-06
O2015,2026-06-12,P006,2,129.0,258.0,Accessories,Mechanical Keyboard,129.0,2026-06
O2016,2026-06-12,P010,2,99.0,198.0,Electronics,Webcam,99.0,2026-06
O2017,2026-06-13,P004,3,599.0,1797.0,Office,Standing Desk,599.0,2026-06
O2018,2026-06-13,P007,4,89.0,356.0,Electronics,Monitor Arm,89.0,2026-06
O2019,2026-06-16,P009,3,19.99,59.97,Accessories,Cable Management Kit,19.99,2026-06
O2020,2026-06-16,P008,2,75.0,150.0,Office,Whiteboard,75.0,2026-06
O2021,2026-06-17,P001,4,149.99,599.96,Electronics,Wireless Headphones,149.99,2026-06
O2022,2026-06-17,P002,3,45.0,135.0,Electronics,Laptop Stand,45.0,2026-06
O2023,2026-06-18,P003,2,399.0,798.0,Office,Ergonomic Chair,399.0,2026-06
O2024,2026-06-18,P011,1,249.99,249.99,,,249.99,2026-06
O2025,2026-06-19,P005,6,39.99,239.94,Accessories,USB-C Hub,39.99,2026-06
O2026,2026-06-19,P006,1,129.0,129.0,Accessories,Mechanical Keyboard,129.0,2026-06
O2027,2026-06-20,P010,4,99.0,396.0,Electronics,Webcam,99.0,2026-06
O2028,2026-06-23,P001,2,149.99,299.98,Electronics,Wireless Headphones,149.99,2026-06
O2029,2026-06-23,P007,3,89.0,267.0,Electronics,Monitor Arm,89.0,2026-06
O2030,2026-06-24,P004,1,599.0,599.0,Office,Standing Desk,599.0,2026-06
,2026-06-24,P002,1,45.0,45.0,Electronics,Laptop Stand,45.0,2026-06
O2032,2026-06-25,P003,1,399.0,399.0,Office,Ergonomic Chair,399.0,2026-06
O2033,2026-06-25,P005,3,39.99,119.97,Accessories,USB-C Hub,39.99,2026-06
O2028,2026-06-26,P006,2,129.0,258.0,Accessories,Mechanical Keyboard,129.0,2026-06
O2035,2026-06-26,P010,1,99.0,99.0,Electronics,Webcam,99.0,2026-06
O2036,2026-06-27,P001,3,149.99,449.97,Electronics,Wireless Headphones,149.99,2026-06
O2037,2026-06-27,P009,4,19.99,79.96,Accessories,Cable Management Kit,19.99,2026-06
O2038,2026-06-30,P008,1,75.0,75.0,Office,Whiteboard,75.0,2026-06
O2039,2026-06-30,P002,2,45.0,90.0,Electronics,Laptop Stand,45.0,2026-06
